EE Code,Fund Code,Fund Code Desc
A1KX,UNA,Unassigned
A1U1,546-24,DSS Assurance 16
A043,661-17,ACF HeadStart PA22
A1U7,363RIT-26,Ritter
A1UL,UNA,Unassigned
A20G,620-21,Program Salaries
A0Z6,UNA,Unassigned
A1V1,564-18,Enp Midstate Region
A0VB,UNA,Unassigned
A025,544-19,Oec Infanty Daycare
A0KZ,650-18,Retreat
A0KL,661-18,ACF HeadStart PA22
A148,650-17,Retreat
A1Y5,544-22,Oec Infanty Daycare
A1WQ,UNA,Unassigned
A08J,382-25,CRT PSH Consolidated
A1WO,699,Crt Local Unrestricted
A0I4,650-25,Retreat
A0Z5,661-17,ACF HeadStart PA22
A1LN,UNA,Unassigned
A1YZ,UNA,Unassigned
A0OG,605HD-24,Elderly Nutrition Home Delivered
A0YK,603-17,Hes-ie
A09H,524-19,Dss Ceap Admin
A0VK,659-17,salaries 2017
A14Y,638-24,Behavioral Health Services
A0HS,659-18,salaries 2017
A10C,609ACB-22,CSBG Agency Capacity Building
A0JD,412-18,Summer Youth
A141,321-25,Htfd Health Community Responders
A0GQ,417-19,Oec Headstart Services
A1NO,UNA,Unassigned
A1ID,605C-21,Congregate
A1G5,UNA,Unassigned
A0R7,UNA,Unassigned
A1ZJ,661-18,ACF HeadStart PA22
A07Q,661-17,ACF HeadStart PA22
A1DF,524-20,Dss Ceap Admin
A0LI,650-21,Retreat
A00B,363RIT-26,Ritter
A1CY,650-21,Retreat
A0BM,605HD-21,Home Delivered
A0RZ,UNA,Unassigned
A1J9,UNA,Unassigned
A0SD,693-22,Womens Empowerment
A114,524-23,DSS CEAP Admin
A0IR,699,Crt Local Unrestricted
A16I,UNA,Unassigned
A0N2,699,Crt Local Unrestricted
A034,UNA,Unassigned
A1NA,UNA,Unassigned
A1O4,321-24,Htfd Health Community Responders
A14T,419-19,Coh Sr Full Day
A0MR,UNA,Unassigned
A0UX,544-19,Oec Infanty Daycare
A1VP,699,Crt Local Unrestricted
A069,650-19,Retreat
A1UG,UNA,Unassigned
A19O,UNA,Unassigned
A1WU,669-18,CRT Local Unrestricted
A1T2,638-21,Behavioral Health Services
A08Q,375MH-19,Coh Ryan White Mental Health
A1XN,659-17,salaries 2017
A0JZ,375EIS-22,Coh Ryan White Early Intervention
A1I4,582ESS-26,East Hartford Shelter ESS
A17F,419-19,Coh Sr Full Day
A0Y6,UNA,Unassigned
A0OB,650-21,Retreat
A12Z,524-17,Dss Ceap Admin
A13Q,650-19,Retreat
A1M9,419-22,Coh Sr Full Day
A1V7,605C-26,Elderly Nutrition Congregate
A0XJ,335-25,DSS Community Health Worker Grant
A1FV,321-22,Htfd Health Community Responders
A1U9,661-18,ACF HeadStart PA22
A1XP,608-25,CNCS RSVP
A05X,UNA,Unassigned
A1UO,661-17,ACF HeadStart PA22
A0W5,UNA,Unassigned
A0IG,363JOB-26,Job Corps
A037,544-19,Oec Infanty Daycare
A1V5,650-18,Retreat
A1ZE,544-25,OEC Infant Daycare
A1YL,419-25,COH SR Full Day
A13J,UNA,Unassigned
A1UE,419-18,Coh Sr Full Day
A0RF,605-17,Elderly Nutrition
A0PS,UNA,Unassigned
A193,650-22,Retreat
A0UL,699,Crt Local Unrestricted
A0AV,546-19,Dss Assurance 16
A01Y,UNA,Unassigned
A14A,337CC-26,OPM Project Longevity Care
A01D,UNA,Unassigned
A0FP,605HD-20,Home Delivered
A0S3,UNA,Unassigned
A1FQ,699,Crt Local Unrestricted
A10Q,524-21,Dss Ceap Admin
A097,UNA,Unassigned
A1CU,UNA,Unassigned
A1PU,301-21,Deep Weatherization
A1YA,555-20,Dmhas Transitional Case Management
A0Y4,UNA,Unassigned
A030,609-17,Dss Csbg
A1MY,638-22,Behavioral Health Services
A1D2,UNA,Unassigned
A1CG,UNA,Unassigned
A0JF,UNA,Unassigned
A01W,UNA,Unassigned
A14I,609-19,CSBG
A01H,UNA,Unassigned
A0AE,598-25,SAMSHA HARP
A02J,321-23,Htfd Health Community Responders
A16Y,424VA-25,COH McKinney VA
A0I8,609-18,Dss Csbg
A10E,424-22,Coh Mckinney
A07I,638-18,Behavioral Health Services
A02S,UNA,Unassigned
A1N5,699,Crt Local Unrestricted
A1N0,UNA,Unassigned
A0TF,419-19,Coh Sr Full Day
A0VH,650-17,Retreat
A1P8,669-18,CRT Local Unrestricted
A0W2,301-22,Deep Weatherization
A0SE,605HD-21,Home Delivered
A1JU,699,Crt Local Unrestricted
A1W1,306-18,Program Salaries
A00F,650-19,Retreat
A0XZ,661-18,ACF HeadStart PA22
A16M,346-26,Journey Home - ARPA Diversion
A1BZ,661-18,ACF HeadStart PA22
A20H,650-25,Retreat
A1QM,699,Crt Local Unrestricted
A01E,UNA,Unassigned
A03F,699,Crt Local Unrestricted
A0IM,650-24,Retreat
A0FW,611F-22,Federal Portion
A0LE,UNA,Unassigned
A0NX,UNA,Unassigned
A1Z2,UNA,Unassigned
A0H1,650-25,Retreat
A0CZ,661-18,ACF HeadStart PA22
A1GV,661-18,ACF HeadStart PA22
A0NI,659-18,salaries 2017
A0NJ,605HD-24,Elderly Nutrition Home Delivered
A0D6,605-18,Elderly Nutrition
A0BI,UNA,Unassigned
A1WG,650-25,Retreat
A0VL,UNA,Unassigned
A1DK,561-17,Sde Summer Lunch
A0BT,611S-22,State Portion
A0YG,524-23,DSS CEAP Admin
A1KI,650-21,Retreat
A11O,699,Crt Local Unrestricted
A0IN,UNA,Unassigned
A1QQ,609ACB-21,CSBG Agency Capacity Building
A128,605C-23,Elderly Nutrition Congregate
A058,605HD-24,Elderly Nutrition Home Delivered
A04X,699,Crt Local Unrestricted
A0XU,375SA-18,Coh Ryan White Substance Abuse
A14M,524-25,DSS CEAP Admin
A06I,301-22,Deep Weatherization
A1XI,625-26,COH Ryan White Part B
A1DZ,669-18,CRT Local Unrestricted
A036,609-18,Dss Csbg
A0RV,419-18,Coh Sr Full Day
A1OT,UNA,Unassigned
A00Q,638-17,Behavioral Health Services
A1W9,UNA,Unassigned
A1AN,638-19,Behavioral Health Services
A17V,339-26,HUD Permanent Supportive Housing
A20I,424VA-26,COH McKinney VA
A18M,UNA,Unassigned
A0H3,524-17,Dss Ceap Admin
A0AO,567-20,Va Ssvf 
A0KJ,UNA,Unassigned
A0RO,524-19,Dss Ceap Admin
A1Z0,UNA,Unassigned
A17B,UNA,Unassigned
A1HT,UNA,Unassigned
A1BR,659-18,salaries 2017
A18D,661-17,ACF HeadStart PA22
A0UE,501-17,Usdol-youthbuild 26185
A0MD,650-24,Retreat
A1KH,UNA,Unassigned
A1NB,UNA,Unassigned
A01O,650-17,Retreat
A1TR,650-19,Retreat
A0GO,UNA,Unassigned
A0YN,514-26,CAFCA SSBG
A121,UNA,Unassigned
A1RN,661-17,ACF HeadStart PA22
A1R0,524-17,Dss Ceap Admin
A18F,419-18,Coh Sr Full Day
A0LX,544-22,Oec Infanty Daycare
A14K,419-18,Coh Sr Full Day
A05C,699,Crt Local Unrestricted
A1Z1,363RIT-26,Ritter
A1RK,363RIT-26,Ritter
A0G0,UNA,Unassigned
A1NV,UNA,Unassigned
A0TH,UNA,Unassigned
A0YL,UNA,Unassigned
A12M,699,Crt Local Unrestricted
A20J,306S-24,DOC State Funded
A0W9,UNA,Unassigned
A16R,605C-23,Elderly Nutrition Congregate
A12I,UNA,Unassigned
A0DI,UNA,Unassigned
A15J,524EI-22,Ceap Early Intake
A0NB,609-18,Dss Csbg
A0G6,605C-22,Congregate
A1BI,650-23,Retreat
A1OI,UNA,Unassigned
A12H,661-18,ACF HeadStart PA22
A0PH,514-18,Cafcs Ssbg
A09R,605HD-23,Elderly Nutrition Home Delivered
A0RE,605C-23,Elderly Nutrition Congregate
A013,UNA,Unassigned
A0N3,424-26,COH McKinney
A0KO,UNA,Unassigned
A1ZF,611-19,Dss His
A1YH,UNA,Unassigned
A13Y,699,Crt Local Unrestricted
A0NT,363DOU-26,Douglas
A20M,UNA,Unassigned
A0T5,608-25,CNCS RSVP
A20X,UNA,Unassigned
A0K4,UNA,Unassigned
A0LW,650-19,Retreat
A1W4,650-22,Retreat
A0RS,699,Crt Local Unrestricted
A1MR,661-18,ACF HeadStart PA22
A082,650-25,Retreat
A1JD,661-18,ACF HeadStart PA22
A1RE,UNA,Unassigned
A0N8,605C-21,Congregate
A1NT,561-17,Sde Summer Lunch
A0NO,UNA,Unassigned
A0TI,321-24,Htfd Health Community Responders
A02N,UNA,Unassigned
A00U,UNA,Unassigned
A0KI,661-17,ACF HeadStart PA22
A1Z5,699,Crt Local Unrestricted
A04G,564-17,Enp Midstate Region
A1Q9,UNA,Unassigned
A1QD,605-18,Elderly Nutrition
A1IJ,605HD-26,Elderly Nutrition Home Delivered
A0RN,UNA,Unassigned
A0NR,650-25,Retreat
A0L6,524EI-23,CEAP Early Intake
A1Y8,363DOU-26,Douglas
A1Y7,363DOU-26,Douglas
A0K2,363DOU-26,Douglas
A0ZE,661-18,ACF HeadStart PA22
A0NS,UNA,Unassigned
A0JW,699,Crt Local Unrestricted
A0RW,UNA,Unassigned
A1CF,661-18,ACF HeadStart PA22
A159,UNA,Unassigned
A09K,584-25,HUD Project Teach
A20N,UNA,Unassigned
A0V1,524-24,DSS CEAP Admin
A0SF,UNA,Unassigned
A10A,659-17,salaries 2017
A01Z,598-26,SAMSHA HARP
A1FZ,599-23,SAMSHA 2.0
A0AJ,524-24,DSS CEAP Admin
A10F,501-17,Usdol-youthbuild 26185
A07A,UNA,Unassigned
A08B,650-19,Retreat
A0AR,699,Crt Local Unrestricted
A176,605HD-24,Elderly Nutrition Home Delivered
A1LK,UNA,Unassigned
A0OI,650-18,Retreat
A084,UNA,Unassigned
A1QX,650-25,Retreat
A1JP,582-18,East Hartford Shelter
A0FQ,650-20,Retreat
A09T,524-21,Dss Ceap Admin
A09J,424-19,Coh Mckinney
A05D,669-18,CRT Local Unrestricted
A0N4,UNA,Unassigned
A0TC,611S-21,State Portion
A15I,524-22,Dss Ceap Admin
A09L,UNA,Unassigned
A08F,605HD-21,Home Delivered
A1I2,661-17,ACF HeadStart PA22
A1JF,611S-24,DSS HSI State
A02I,UNA,Unassigned
A20L,605HD-25,Elderly Nutrition Home Delivered
A1SW,605HD-20,Home Delivered
A1IB,609-18,Dss Csbg
A1A1,UNA,Unassigned
A0KG,699,Crt Local Unrestricted
A0QQ,524-22,Dss Ceap Admin
A1L4,699,Crt Local Unrestricted
A06E,524-26,DSS CEAP Admin
A1JL,638-21,Behavioral Health Services
A0UR,659-17,salaries 2017
A07C,524-25,DSS CEAP Admin
A06L,UNA,Unassigned
A0CH,419-20,Coh Sr Full Day
A0QH,UNA,Unassigned
A153,659-17,salaries 2017
A1AM,UNA,Unassigned
A06T,659-18,salaries 2017
A0HW,419-20,Coh Sr Full Day
A0M4,UNA,Unassigned
A01I,UNA,Unassigned
A1Y2,321-26,Htfd Health Community Responders
A1XK,346-24,Journey Home - ARPA Diversion
A19U,659-18,salaries 2017
A0VP,419-23,Coh Sr Full Day
A1MW,524-25,DSS CEAP Admin
A1A3,UNA,Unassigned
A1D7,661-17,ACF HeadStart PA22
A02R,699,Crt Local Unrestricted
A1XA,625-23,Ryan White Part B
A0F3,524-21,Dss Ceap Admin
A0OC,661-17,ACF HeadStart PA22
A1WD,UNA,Unassigned
A1K4,609OTH-25,DSS CSBG Other
A172,UNA,Unassigned
A105,564-18,Enp Midstate Region
A1L1,600-19,Samsha Grant
A1UD,419-18,Coh Sr Full Day
A1G4,564C-23,ENP Midstate Region Congregate
A1T7,638-18,Behavioral Health Services
A16H,UNA,Unassigned
A1MC,718-21,Ritter Learning Hub
A0G7,561-18,Sde Summer Lunch
A1DA,669-18,CRT Local Unrestricted
A0WC,650-21,Retreat
A14P,661-18,ACF HeadStart PA22
A1TZ,442-18,Sde Cacfp Daycare Homes
A1LB,UNA,Unassigned
A02Z,UNA,Unassigned
A0LR,UNA,Unassigned
A0LT,UNA,Unassigned
A10G,650-25,Retreat
A157,UNA,Unassigned
A1SM,524-25,DSS CEAP Admin
A212,357-26,HHS Affordable Housing
A0XP,524-17,Dss Ceap Admin
A12N,650-22,Retreat
A0QL,605HD-20,Home Delivered
A1IT,381-19,Hud Ct Bos Consolidated
A19W,UNA,Unassigned
A0MN,661-18,ACF HeadStart PA22
A1N6,417-18,Oec Headstart Services
A11J,609-19,CSBG
A07L,580-21,Youth Navigator
A0H9,546-26,DSS Assurance 16
A0GG,295GF,Grant Families
A026,UNA,Unassigned
A055,UNA,Unassigned
A04Q,UNA,Unassigned
A0FK,582ESS-26,East Hartford Shelter ESS
A1SK,UNA,Unassigned
A1M6,609ACB-22,CSBG Agency Capacity Building
A1WP,419-22,Coh Sr Full Day
A0YD,605HD-21,Home Delivered
A0ZW,699,Crt Local Unrestricted
A0JX,514-25,CAFCA SSBG
A0WJ,UNA,Unassigned
A0ZV,693-21,Womens Empowerment
A038,699,Crt Local Unrestricted
A1TM,UNA,Unassigned
A137,605-18,Elderly Nutrition
A1OU,363RIT-26,Ritter
A1FI,UNA,Unassigned
A1UF,UNA,Unassigned
A0FY,UNA,Unassigned
A0PQ,524-21,Dss Ceap Admin
A1WR,419-25,COH SR Full Day
A0YJ,699,Crt Local Unrestricted
A1HL,UNA,Unassigned
A04P,605-17,Elderly Nutrition
A0R4,363RIT-26,Ritter
A1ZA,659-17,salaries 2017
A1WH,UNA,Unassigned
A1L9,UNA,Unassigned
A029,699,Crt Local Unrestricted
A0F5,650-18,Retreat
A1YI,301-25,DEEP Weatherization
A0KU,661-18,ACF HeadStart PA22
A04U,UNA,Unassigned
A0NH,UNA,Unassigned
A06C,661-18,ACF HeadStart PA22
A17T,661-17,ACF HeadStart PA22
A0T9,381-19,Hud Ct Bos Consolidated
A001,661-18,ACF HeadStart PA22
A1CP,567COE-21,VA SSVF CO- Extended
A09F,419-17,Coh Sr Full Day
A1KZ,524-26,DSS CEAP Admin
A1O5,699,Crt Local Unrestricted
A0IL,546-25,DSS Assurance 16
A1B6,424-22,Coh Mckinney
A05K,546-17,Dss Assurance 16
A1GI,UNA,Unassigned
A0RY,424-19,Coh Mckinney
A0GJ,650-22,Retreat
A083,UNA,Unassigned
A0U8,UNA,Unassigned
A0OD,524-23,DSS CEAP Admin
A0TS,567-18,Va Ssvf 
A0Y5,524-21,Dss Ceap Admin
A0VF,UNA,Unassigned
A0MH,524-23,DSS CEAP Admin
A1QT,699,Crt Local Unrestricted
A061,UNA,Unassigned
A0OJ,699,Crt Local Unrestricted
A0SK,UNA,Unassigned
A1MV,UNA,Unassigned
A1B9,412-23,Summer Youth
A0TE,UNA,Unassigned
A1NL,582ESG-26,East Hartford Shelter ESG
A1DV,546-21,Dss Assurance 16
A1DO,524-17,Dss Ceap Admin
A0K3,UNA,Unassigned
A0VY,524-26,DSS CEAP Admin
A0TZ,UNA,Unassigned
A0FZ,UNA,Unassigned
A0V4,659-18,salaries 2017
A0F0,582-18,East Hartford Shelter
A08C,419-20,Coh Sr Full Day
A13B,555-22,Dmhas Transitional Case Management
A07P,UNA,Unassigned
A056,524-21,Dss Ceap Admin
A18B,UNA,Unassigned
A12A,UNA,Unassigned
A08H,335-24,DSS Community Health Worker Grant
A0SY,375SA-24,COH Ryan White Substance Abuse
A0QT,605HD-23,Elderly Nutrition Home Delivered
A0J8,424-17,Coh Mckinney
A0T3,605C-23,Elderly Nutrition Congregate
A08K,650-20,Retreat
A0PU,321-22,Htfd Health Community Responders
A13W,440-24,SDE CACFP ECE
A18K,524-18,Dss Ceap Admin
A1DX,564C-23,ENP Midstate Region Congregate
A1PQ,332-25,Healthy Families
A1K9,UNA,Unassigned
A1ZR,669-18,CRT Local Unrestricted
A17X,UNA,Unassigned
A0VW,611F-23,DSS HSI Federal
A0H5,UNA,Unassigned
A0YV,650-18,Retreat
A02O,609-18,Dss Csbg
A1MI,605-18,Elderly Nutrition
A00P,650-25,Retreat
A1NR,UNA,Unassigned
A16L,699,Crt Local Unrestricted
A0UY,718-21,Ritter Learning Hub
A1HG,UNA,Unassigned
A1O6,512-23,UniteCT
A1DR,650-17,Retreat
A04K,699,Crt Local Unrestricted
A0KR,332-23,Healthy Families
A17J,UNA,Unassigned
A0IA,564C-23,ENP Midstate Region Congregate
A00Z,669-17,CRT Local Unrestricted
A16U,611S-26,DSS HSI State
A12L,605C-21,Congregate
A0RU,306-18,Program Salaries
A0U7,584-17,Hud Project Teach
A072,UNA,Unassigned
A059,605HD-25,Elderly Nutrition Home Delivered
A1B4,605-17,Elderly Nutrition
A1W3,424-22,Coh Mckinney
A0TP,UNA,Unassigned
A13P,546-17,Dss Assurance 16
A0T0,424-26,COH McKinney
A06S,UNA,Unassigned
A04Z,605C-20,Congregate
A0XX,UNA,Unassigned
A14C,544-21,Oec Infanty Daycare
A1OM,UNA,Unassigned
A1YO,UNA,Unassigned
A0S8,UNA,Unassigned
A05G,544-19,Oec Infanty Daycare
A08R,650-23,Retreat
A0DQ,424-26,COH McKinney
A07D,UNA,Unassigned
A1PZ,661-18,ACF HeadStart PA22
A08P,UNA,Unassigned
A0ME,650-19,Retreat
A0R5,332-25,Healthy Families
A1QA,UNA,Unassigned
A01B,UNA,Unassigned
A13O,659-17,salaries 2017
A183,UNA,Unassigned
A02Y,UNA,Unassigned
A0U5,605C-24,Elderly Nutrition Congregate
A0HA,524-24,DSS CEAP Admin
A0FH,605C-26,Elderly Nutrition Congregate
A0R9,605HD-21,Home Delivered
A0LA,555-20,Dmhas Transitional Case Management
A050,UNA,Unassigned
A1F7,UNA,Unassigned
A1GD,UNA,Unassigned
A17Y,524-21,Dss Ceap Admin
A1NG,412-25,Summer Youth
A0CK,363JOB-26,Job Corps
A1ZG,419-22,Coh Sr Full Day
A1VW,UNA,Unassigned
A1ZT,608-17,Cncs Rvsp
A1R9,419-19,Coh Sr Full Day
A0GH,UNA,Unassigned
A1AR,UNA,Unassigned
A09C,650-18,Retreat
A1O2,440-19,Sde Cacfp Headstart
A1AU,605HD-19,Home Delivered
A169,UNA,Unassigned
A1BT,611S-21,State Portion
A0QW,605HD-23,Elderly Nutrition Home Delivered
A04O,561-18,Sde Summer Lunch
A0GZ,382-21,CRT PSH Consolidated
A054,321-23,Htfd Health Community Responders
A15D,661-18,ACF HeadStart PA22
A1R3,650-23,Retreat
A0O3,UNA,Unassigned
A1PS,609CO-22,CSBG CARES ACT
A1LL,699,Crt Local Unrestricted
A11D,301-22,Deep Weatherization
A125,605HD-23,Elderly Nutrition Home Delivered
A1OY,609-18,Dss Csbg
A1IF,661-18,ACF HeadStart PA22
A0BU,669-18,CRT Local Unrestricted
A0YP,650-19,Retreat
A117,424-21,Coh Mckinney
A0J9,582ESG-24,Emergency Services Grant
A0UI,564-17,Enp Midstate Region
A0MQ,609ACB-22,CSBG Agency Capacity Building
A1PP,UNA,Unassigned
A1KC,661-18,ACF HeadStart PA22
A1CM,357-26,HHS Affordable Housing
A1KS,605C-24,Elderly Nutrition Congregate
A19Z,609-18,Dss Csbg
A151,UNA,Unassigned
A0A4,661-18,ACF HeadStart PA22
A03P,699,Crt Local Unrestricted
A1W2,605HD-25,Elderly Nutrition Home Delivered
A0FR,UNA,Unassigned
A1C3,699,Crt Local Unrestricted
A0HZ,605C-25,Elderly Nutrition Congregate
A13L,661-18,ACF HeadStart PA22
A090,UNA,Unassigned
A1YW,UNA,Unassigned
