EE_Code,Fund_Code,Fund_Code_Desc
A0G8,363RIT-26,Ritter
A20R,306S-26,DOC Scattered Site Housing
A0K6,598-26,SAMSHA HARP
A0LL,583-26,HUD H Pass Rapid Rehousing
A10R,650-25,Retreat
A1DC,335-25,DSS Community Health Worker Grant
A1OO,699,Crt Local Unrestricted
A10O,582ESG-26,East Hartford Shelter ESG
A0T2,363DOU-26,Douglas
A03N,301-26,Deep Weatherization
A1FC,339-26,HUD Permanent Supportive Housing
A0F7,611S-26,DSS HSI State
A0P4,699,Crt Local Unrestricted
A0TJ,583-26,HUD H Pass Rapid Rehousing
A1JY,650-25,Retreat
A0KH,546-25,DSS Assurance 16
A0MF,712-25,CRT Print Center
A1ZX,363RIT-26,Ritter
A19E,363RIT-26,Ritter
A1YP,638-25,Behavioral Health Services
A05F,638-25,Behavioral Health Services
A05P,363DOU-26,Douglas
A0V2,650-25,Retreat
A1OP,650-25,Retreat
A0PL,332-25,Healthy Families
A1UP,699,Crt Local Unrestricted
A1FP,567-25,VA SSFF FY25
A0X9,424-26,COH McKinney
A0SW,567-25,VA SSFF FY25
A1FB,306S-26,DOC Scattered Site Housing
A1UT,363JOB-26,Job Corps
A0I9,611F-26,DSS HIS Federal
A0VT,650-25,Retreat
A1UK,363RIT-26,Ritter
A0QJ,321-26,Htfd Health Community Responders
A1FX,363RIT-26,Ritter
A0LP,337H-26,OPM Project Longevity Housing
A03R,363JOB-26,Job Corps
A192,321-26,Htfd Health Community Responders
A15F,447-26,VA GPD Case Management
A156,650-25,Retreat
A0UU,699,Crt Local Unrestricted
A11K,699,Crt Local Unrestricted
A1BH,699,Crt Local Unrestricted
A0BK,363RIT-26,Ritter
A0NK,582ESG-26,East Hartford Shelter ESG
A10P,699,Crt Local Unrestricted
A12B,524-26,DSS CEAP Admin
A1JN,424-26,COH McKinney
A1ZV,609ACB-26,DSS CSBG Agency Capacity Building
A0J3,301-26,Deep Weatherization
A0OZ,524-26,DSS CEAP Admin
A0OL,355-26,Journey Home Unsheltered
A09X,446-26,VA Veterans Crossing
A11S,650-25,Retreat
A1MB,699,Crt Local Unrestricted
A1MZ,306S-26,DOC Scattered Site Housing
A20A,321-26,Htfd Health Community Responders
A16A,611S-26,DSS HSI State
A0MA,335-25,DSS Community Health Worker Grant
A0LC,555-26,DMHAS Transitional Case Management
A17M,363DOU-26,Douglas
A1CK,524-26,DSS CEAP Admin
A0NE,567-25,VA SSFF FY25
A19F,489-26,WA Youth Employment Skills Training
A0Q1,508-26,DCF Chaps
A0VJ,363DOU-26,Douglas
A1CO,346-26,Journey Home - ARPA Diversion
A1A0,611F-26,DSS HIS Federal
A0JG,446-26,VA Veterans Crossing
A0NN,524-26,DSS CEAP Admin
A1PO,699,Crt Local Unrestricted
A17U,301-26,Deep Weatherization
A0SP,599-26,SAMSHA 2.0
A0WP,321-26,Htfd Health Community Responders
A0PO,638-25,Behavioral Health Services
A0YF,514-26,CAFCA SSBG
A0IJ,524-26,DSS CEAP Admin
A1LQ,424-26,COH McKinney
A215,363DOU-26,Douglas
A05U,524-26,DSS CEAP Admin
A0HE,567-25,VA SSFF FY25
A1AK,424-26,COH McKinney
A1L7,699,Crt Local Unrestricted
A12Y,375EIS-26,COH Ryan White Early Intervention
A1HP,363JOB-26,Job Corps
A191,546-26,DSS Assurance 16
A1ST,363DOU-26,Douglas
A0XO,321-26,Htfd Health Community Responders
A0HH,611S-26,DSS HSI State
A07J,424-26,COH McKinney
A1S4,301-26,Deep Weatherization
A1FT,524-26,DSS CEAP Admin
A20V,363RIT-26,Ritter
A0YW,382-26,HUD CRT PSH Consolidated
A173,699,Crt Local Unrestricted
A20T,363JOB-26,Job Corps
A0MK,598-26,SAMSHA HARP
A0V7,355-26,Journey Home Unsheltered
A1JR,363RIT-26,Ritter
A0KF,546-26,DSS Assurance 16
A1B2,699,Crt Local Unrestricted
A1Y0,598-26,SAMSHA HARP
A160,699,Crt Local Unrestricted
A1X0,363JOB-26,Job Corps
A0IO,321-26,Htfd Health Community Responders
A211,363DOU-26,Douglas
A0OW,650-25,Retreat
A1TD,650-25,Retreat
A196,611F-26,DSS HIS Federal
A1AL,424-26,COH McKinney
A1P0,363JOB-26,Job Corps
A0U4,359-25,OEC Registered Apprenticeship
A1TA,339-26,HUD Permanent Supportive Housing
A1NS,613-26,DSS Limited English
A1P2,699,Crt Local Unrestricted
A1Q0,699,Crt Local Unrestricted
A1UX,363RIT-26,Ritter
A1KL,699,Crt Local Unrestricted
A09U,363RIT-26,Ritter
A12D,650-25,Retreat
A106,638-25,Behavioral Health Services
A1CZ,363RIT-26,Ritter
A063,582ESG-26,East Hartford Shelter ESG
A1PW,363JOB-26,Job Corps
A1YS,363RIT-26,Ritter
A1YT,363JOB-26,Job Corps
A1GQ,689L,Local Unrestricted
A0WI,699,Crt Local Unrestricted
A1U7,363RIT-26,Ritter
A0I4,650-25,Retreat
A00B,363RIT-26,Ritter
A1I4,582ESS-26,East Hartford Shelter ESS
A0XJ,335-25,DSS Community Health Worker Grant
A14A,337CC-26,OPM Project Longevity Care
A11O,699,Crt Local Unrestricted
A1XI,625-26,COH Ryan White Part B
A17V,339-26,HUD Permanent Supportive Housing
A0YN,514-26,CAFCA SSBG
A1RK,363RIT-26,Ritter
A12M,699,Crt Local Unrestricted
A0NT,363DOU-26,Douglas
A20X,UNA,Unassigned
A082,650-25,Retreat
A1Y8,363DOU-26,Douglas
A0K2,363DOU-26,Douglas
A09K,584-25,HUD Project Teach
A06E,524-26,DSS CEAP Admin
A1Y2,321-26,Htfd Health Community Responders
A10G,650-25,Retreat
A0H9,546-26,DSS Assurance 16
A038,699,Crt Local Unrestricted
A1OU,363RIT-26,Ritter
A0IL,546-25,DSS Assurance 16
A1QT,699,Crt Local Unrestricted
A0OJ,699,Crt Local Unrestricted
A00P,650-25,Retreat
A16U,650-22,Retreat
A0DQ,424-26,COH McKinney
A0CK,363JOB-26,Job Corps
A1CM,357-26,HHS Affordable Housing
